motivo_abandono_empresa,mejoras_para_reduccion_rotacion,comentarios_experiencia_empresa,factores_externos_opciones
"Me siento frustrada porque me exigen resultados y ser responsable si algo no sale bien, pero, al mismo tiempo, todos se sienten con el derecho de opinar sobre mi area de trabajo. cuando indico que algo no puede realizarse porque afecta fiscalmente, mis opiniones son ignoradas, y, en lugar de ser escuchada, me tachan de agresiva. esto genera un ambiente dificil, donde mis responsabilidades no se reflejan en los derechos que deberia tener para tomar decisiones en mi area.","Considero que seria importante establecer limites en cuanto a las opiniones y cambios sobre areas que no estan a su cargo. ademas, seria beneficioso contar con un gerente general que sea el encargado de tomar las decisiones finales en estos temas. esto contribuiria a que cada area tenga la autonomia y el respeto necesarios para funcionar de manera mas eficiente, reduciendo posibles conflictos y aumentando la satisfaccion laboral.","El ambiente laboral, los constantes cambios de procesos, la carga de trabajo y la falta de reconocimiento son factores clave que afectan mi experiencia en la empresa. estos aspectos dificultan la motivacion y el compromiso, ya que no se percibe el apoyo necesario ni un ambiente que valore el esfuerzo realizado.","Oferta laboral en otras empresas, Salario poco competitivo en el mercado, Condiciones economicas generales, Falta de oportunidades de crecimiento profesional, Ambiente laboral"
"Asumir responsabilidades sin falta de capacitacion y a su vez, de errores por terceros que pudieron ser evitados que previamente fueron expuestos","Delimitar alcances dentro de las funsiones de la direccion, imparcialidad e vitar el conflicto de interes en la toma de deciciones ","Conflicto de intereses entre la direccion, falta de transparencia y etica laboral, la directriz cambia sin previo aviso y la comunicacion no es eficiente","Oferta laboral en otras empresas, Distancia entre casa y trabajo, Salario poco competitivo en el mercado, Condiciones economicas generales, Falta de oportunidades de crecimiento profesional, Ambiente laboral, Factores personales"
Falta de reconocimiento y recompensa (no monetaria solamente) ,Reconocimiento con premios aunque no sean monetarios y mas empatia a todas las areas,En general no es malo el trabajo solo que la moral de los equipos se baja por la falta de reconocimiento en algunos niveles y la falta de empatia de unos a otros,"Oferta laboral en otras empresas, Distancia entre casa y trabajo, Falta de transporte adecuado, Salario poco competitivo en el mercado, Condiciones economicas generales, Ambiente laboral, Factores personales"
Para obtener un salario mayor al que recibo.,"Mejores salarios, tomar en cuenta la experiencia y formacion profesional del personal.","El ambiente laboral me agrada bastante y creo que el horario es adecuado, en terminos generales me gusta trabajar en insco.

sin embargo, me gustaria que se tomara mas en cuenta la experiencia y formacion profesional de los trabajadores y se les remunerara con base en ello, ya que considero que el salario es bajo.","Oferta laboral en otras empresas, Condiciones economicas generales, Falta de oportunidades de crecimiento profesional"
,Mejoras en los salarios,,
,"Mejores salarios, definicion de funciones y responsabilidades claras en cada uno de los puestos de trabajo",,
,Contratacion de personal competente,,
,"Mejor observacion en el proceso de contratacion. incentivos (tiempo, salario, reconocimientos, etc.). mejorar el ambiente laboral (comunicacion, participacion de los colaboradores en algunas tomas de desiciones). crecimientos profesional basado en resultados.","En general estoy agusto con las actividades que desempeno. en algun momento tuve la inquietud de renunciar, por conflictos con el jefe directo, sin embargo, una situacion familiar me detuvo, pude manejar la situacion, no obstante fue un proceso un poco largo y con mucho estres. ","Responsabilidades familiares, Condiciones economicas generales"
,Mas prestaciones,Ninguna,
Por crecimiento profesional y economico ,"Incluir mas prestaciones como caja de ahorro, cubrir las vacantes de manera rapida para no sobrecargar el trabajo de los empleados que se quedan ","Considero importante que se tome en cuenta la opinion de los empleados, tanto los que renuncian como los que se quedan, ya que la decision de los que han renunciado es la principal causa de rotacion de personal y si se considera y se realiza un estudio, es muy probable que sea una causa comun, como el acoso laboral, el salario recibido, las horas de trabajo, etc., si existiera un registro se podria analizar una frecuencia del motivo de renuncia y es mas facil tomar una accion correctiva","Distancia entre casa y trabajo, Responsabilidades familiares, Condiciones economicas generales"
Por la distancia entre mi casa y el trabajo,Mejores prestaciones,En el poco tiempo que he trabajado en insco he aprendido mucho pero tambien los servicios son agotadores y en ocasiones arriesgados y que la empresa se preocupe por seguridad e integridad del personal ayudaria mucho.,"Distancia entre casa y trabajo, Salario poco competitivo en el mercado, Responsabilidades familiares"
Salario,"Que la empresa ofresca incentivos economicos a sus empleados por ejemplo: comedor industrial, transporte para los empleados, premios de productividad, caja de ahorro, vales de despensas, aumento de salario , uniformes, capacitaciones externas, seguro de gasta medicos mayores, etc.","Quitar la frase  ""trabajar con lo que se tiene para hacer mas, con poco que se tiene se hace mas"".                                                                                                    
 invertir en equipos nuevos para que la empresa este a nivel global.",Otro
,"Como sugerencia, incluir un seguro de vida para los que salimos afuera en servicio en sitio, vales de despensa, ajuste de salario a quien lo merezca.","Satisfactoria, en insco he crecido laboral e intelectualmente, me han dado la oportunidad de conocer otros lugares, me han apoyado en lo que he necesitado siempre, si en lo proximo habra un ajuste de salarios me gustaria ser considerado, no he considerado salir de la organizacion pero si buscar de ya otro trabajo para equilibrar los gastos por la inflacion y necesidades varias, gracias!",
,Que haya crecimiento laboral,Que haya recursos humanos,
"Porque a pesar de esfuerzo y dedicacion que doy en mi trabajo desde que entre en la empresa, sentia que no era valorado, ya que vi a muchos companeros de trabajo crecer mas rapido que yo,  ademas de que me veo en la necesidad de aprovechar la edad que tengo para poder alcanzar mis metas a futuro, me gusta ser competitiva y dar lo mejor de mi, por ello sentia que debia buscar un lugar donde pueda desarrollarme mas, con nuevos retos  y con una mejor remuneracion.","Que la empresa cuente con recursos humanos, que haya una mejor supervision en otras areas de trabajo debido a que la mayor parte de los problemas que surgen se le atribuye al area tecnica cuando no es el caso,  que haya retos o metas por alcanzar y exista de alguna manera una remuneracion talvez no sea monetaria si no que se reconozca el esfuerzo que uno hace, pudiendo ser el salir temprano los viernes o algo que nos incentive a ser mejores dia a dia.","Reconozco que no todo es malo en el entorno laboral, el horario me gusta, ya que no se rolan turnos, descansamos el fin de semana y me da tiempo de llegar con tiempo a casa, hay flexibilidad en cuando uno pide sus dias de vacaciones, vivo relativamente cerca, me gusta la ubicacion de la empresa, me gusta mi lugar de trabajo, el trabajo no es dificil, a veces los companeros o jefes lo hacen complicado por que hay cosas sencillas que se pueden solucionar al instante y lo que pesa es el regano o la evidencia que le hacen a uno, llegando a ser un desgaste mental.
lo que me he dado cuenta es de que el trabajo se carga mas a las personas que tienen mas tiempo trabajando por la experiencia que tienen, ya que al haber rotacion de personal el conocimiento se va pasando a los nuevos integrantes, no lo veo mal, porque aprendo de igual forma el como capacitar y ensenarle a los demas, sin embargo tambien debe con considerarse como algo extra al trabajo que hacemos y se reconozca.","Oferta laboral en otras empresas, Falta de transporte adecuado, Salario poco competitivo en el mercado"
Los tiempos de traslado de mi casa a la oficina y viceversa ,Aumento de salarios o vales de despensa,,"Distancia entre casa y trabajo, Responsabilidades familiares, Factores personales"
,Salarios,,"Oferta laboral en otras empresas, Salario poco competitivo en el mercado"
La unica opcion del por que he considerado dejar la empresa ha sido por un mejor salario y/o mejores prestaciones,"El aumento de salarios considero que seria una motivacion para el personal o alguna prestacion extra (ej: vales de despensa, caja de ahorros), capacitaciones externas","Considero que el ambiente laboral dentro de la empresa es bueno pero creo que implementar actividades o cierto tipo de dinamicas no estaria mal para que logremos entender que el trabajo en equipo entre todas las areas es fundamental para un crecimiento, saber que si a la empresa le va bien, a las areas nos va bien 
tambien considero que la adquisicion de nuevos equipos ayudaria a atraer a mas clientes ","Oferta laboral en otras empresas, Distancia entre casa y trabajo, Salario poco competitivo en el mercado"
"Incumplimiento en pago de bono, salario bajo, limitaciones de trabajo, comentarios inapropiados e incongruentes, pago de utilidades escasas, preferencias laborales, conflictos entre areas por problematica de jefes, poca o nula  comunicacion entre jefes - empleados y entre areas con respecto a cambios o modificaciones de procedimientos, toma de decisiones de jefes sin tomar en cuenta a los colaboradores que estan desarrollando las actividades ","Cumplimiento de los pagos, incremento de salario, reconocimiento de trabajo adicional o solucion de problemas, objetividad en el trabajo para decisiones y problematicas, capacitacion correspondiente al area para un mejor desempeno. mejor comunicacion ","Se generan comentarios de humillacion y desmotivacion, asi como menosprecio y desvalorizan el trabajo realizado y concluido satisfactoriamente, para con ello justificar el incumpliendo de las responsabilidades con los colaboradores. se da prioridad a gastos innecesarios o poco relevantes en en vez de enfocarse a destinar los recursos a las necesidades mas importantes y urgentes de la empresa y de los colaboradores","Oferta laboral en otras empresas, Salario poco competitivo en el mercado, Condiciones economicas generales, Falta de oportunidades de crecimiento profesional, Ambiente laboral, Factores personales, Otro"
Para buscar crecimiento profesional y mejores prestaciones ,"Comunicacion abierta y transparente
reconocimiento y motivacion
clima laboral saludable
plan de crecimiento y desarrollo",Ninguna,
,Que halla mas incentivos  ,"Que haya prestaciones de vales despensa, caja de ahorro y premios por productividad",
El tiempo y dinero para el traslado es mucho. ,"Los comentarios que mas he escuchado al respecto es sobre los salarios, en mi area en especifico sobre los bonos. ",,"Distancia entre casa y trabajo, Salario poco competitivo en el mercado, Factores personales"
,"1. desde la apertura de una vacante, asegurarse de que el candidato cumpla al 100% con el perfil de puesto e implemetar filtros en elproceso de seleccion de personal, antes de su contratacion. 
2. ajustar el salario de acuerdo a perfil de puesto, funciones y responsabilidades.",NInguna,
Salario,Salario y ambiente laboral,,"Salario poco competitivo en el mercado, Falta de oportunidades de crecimiento profesional"
,1. mejor salario. 2 delimitar el area de trabajo e intervencion de otras areas,"La empresa es buena, igual y limitar un poco la intervencion entre areas, respetar los tiempos y procesos de cada area.",
,"Capacitaciones, mejor supervision",,
"Incumplimiento en el pago de bono o comisiones de acuerdo a lo mencionado durante la contratacion.

incitan de alguna a que nos vayamos de la empresa debido a respuestas nada respetuosas, eticas y profesionales.

dentro del equipo de trabajo se muestran ciertas acciones, las cuales no son parciales y profesionales generando un ambiente laboral dividido y mostrando ciertos favoritismos e incongruencias en algunos comentarios. 
",Reconocimiento al trabajo efectuado por el colaborador e incentivarlo y motivarlo monetariamente o alguna otra prestacion de acuerdo a las de ley. ,"Dentro del giro metrologico es una buena empresa y respetada por la eficiencia en sus servicios, desafortunadamente las expectativas cambiaron al ver ciertas acciones que se llevan a cabo y no son de algun modo profesionales, eticas al momento de dirigirse con el personal. 
esperando se puedan hacer algunas mejoras y consideren nuestra opinion de manera profesional y no sea esto de manera personal y afecte mas aun el ambiente laboral.","Salario poco competitivo en el mercado, Condiciones economicas generales, Ambiente laboral"
,Una buena administracion en cuanto a los salarios y comisiones por lo vendido y su fecha de entrega al vendedor almenos en mi area ,,"Distancia entre casa y trabajo, Salario poco competitivo en el mercado"
,Planes de crecimiento,,
,"Un mejor salario, mejorar la relacion empleado-empresa","Considero que hace falta mas atencion hacia el personal y no precisamente incentivos economicos si no que se debe mejorar la relacion empleado-empresa, debe ser mutuo. y seguir mejorando la imagen. ","Distancia entre casa y trabajo, Salario poco competitivo en el mercado, Condiciones economicas generales, Ambiente laboral"
Por que gano muy poco gano menos de un salario minimo ,"Primero que nos aumenten el salario , segundo que implementen vales de despensa y tercero transporte o vales de transporte ",Ninguna,
,"Incentivos de pertenencia hacia la empresa, economicos, reconocimientos por logros, mejoras, agradecimientos etc. ","En mi caso personal y en mi trayectoria a traves de la empresa si tengo un buen sabor de boca y me ha permitido desarrollarme plenamente profesionalmente y descubrir mis fortalezas y superar retos dia tras dia y puedo decir abiertamente que es parte de mi vida. se que puede mejorar lo he visto a lo largo de estos anos y a partir del liderazgo de fer denio nuestro crecimiento ha sido exponencial y con aciertos en toma de decisiones,  tambien se que no somos perfectos y cometemos errores pero de ellos hay un aprendizaje.","Salario poco competitivo en el mercado, Condiciones economicas generales, Otro"
Ambiente laboral ,"Mas compensaciones, asi como oportunidades de desarrollo    y sinergia entre areas",,"Salario poco competitivo en el mercado, Condiciones economicas generales, Ambiente laboral"
"No me gusta el ambiente laboral, hay mucho favoritismo, deberia de haber recursos humanos, no deberia de haber tantos problemas entre areas mas bien entre areas deberiamos de hacer trabajo en equipo para optimizar el servicio a los clientes. ",Que no haya favoritismo,Insco deberia de fijarse mas en las necesidades de los colaboradores. ,
"Senti que mi trabajo no era reconocido en su totalidad, parece facil pensar que alguien cuenta con una gran capacidad para llevar acabo el papel de un metrologo y jefatura, pero en alguna ocasion me rebaso mentalmente y llego al punto economico; considerando de alguna forma no estaba siendo siento equitativa la carga de trabajo vs mi salario.","Aunque bien sabemos que nosotros nos manejamos por kpi´s y constantemente hay numeros, no siempre el reconocimiento va de la mano con ellos.
si bien no puede ser un aumento de salario en cortos plazos, quizas un bono o un dia de vacaciones, establecido de acuerdo a las necesidades de la empresa, porque tambien entiendo que no podemos irnos de vacaciones cada semana.
tambien, es importante el reconocimiento entre areas, porque muchas veces se subestima el trabajo del otro, sin considerar todo lo que hay detras.","Mi opinion, no esta basada en el ambiente, porque considero que dentro de este equipo (area tecnica) no todos somos iguales ni trabajamos de la misma forma, sin embargo, hemos logrado muchas cosas buenas.
mas alla del salario, que en su momento me hicieron dudar de continuar mi estancia aqui; poniendolo en la balanza; ha sido basto el apoyo que he recibido dentro de la empresa en cuestiones personales, cuando por emergencias con mi hija, me ha tocado abrir el dialogo para encontrar otros caminos para no descuidar ambos aspectos; y profesionales al darme la oportunidad de ir creciendo dentro de la empresa.","Distancia entre casa y trabajo, Responsabilidades familiares, Otro"
,Aumentos de salario. puestos o actividades relacionadas a su perfil academico,,"Oferta laboral en otras empresas, Distancia entre casa y trabajo, Salario poco competitivo en el mercado"
"Salario poco competitivo, que no hay otras prestaciones de ley como vales de despensa, fondo de ahorro, etc. ","Mejora de salarios principalmente, quizas alguna otra prestacion de ley. ","En general insco me parece una buena empresa, el ambiente laboral es bueno en mi opinion personal,  tambien en algun tema personal  siempre se me ha brindado la ayuda, en cuestiones personales insco se ha preocupado en mi persona. la comunicacion tambien es buena, quizas haya temas algunos entre areas pero en general es la adecuada. ","Distancia entre casa y trabajo, Responsabilidades familiares, Condiciones economicas generales, Ambiente laboral"
,Contratar a colaboradores con conocimientos especificos a sus puestos ,,
"Se ha frenado, por parte de personal perteneciente a la direccion, cualquier intento de implementar la estrategia de datos en la empresa, incluso con faltas de respeto hacia mi persona, lo cual impide cualquier intento de crecimiento y aumenta la frustracion.","1. eliminar cualquier tipo de conflicto de intereses en la toma de decisiones.
2. capacitar al personal directivo en cuanto a estrategias de liderazgo.
3. crear un puesto de rrhh con personal capacitado.
4. crear una politica coherente de salarios (que a cada quien se le pague segun capacidad y aportacion).
5. garantizar que los encargados de area tengan la capacidad necesaria para el puesto, pues hoy en dia hay mucho personal directivo que no tiene la capacidad ni el conocimiento para el puesto que ocupa.","Si, diria que he observado como la falta de consecuencias equitativas ante errores graves genera un sentimiento de injusticia que se puede palpar claramente. es como si algunos cargaran con todo el peso, mientras que otros siguen adelante sin asumir responsabilidad. esto, inevitablemente, lastima la confianza entre nosotros, los colaboradores, y dificulta la colaboracion. se siente un ambiente de desanimo, donde la motivacion disminuye y el trabajo en equipo se resiente. creo que todos merecemos un trato justo, y que aprender de los errores, juntos, nos haria mas fuertes como equipo.","Oferta laboral en otras empresas, Salario poco competitivo en el mercado, Responsabilidades familiares, Condiciones economicas generales, Falta de oportunidades de crecimiento profesional, Ambiente laboral"
,"Pagos puntuales de comisiones de ventas,  carga de trabajo, crecimiento profesional",,"Distancia entre casa y trabajo, Responsabilidades familiares, Condiciones economicas generales, Falta de oportunidades de crecimiento profesional"
,Mejor ambiente laboral y actividades que involucren beneficios,,
